Name,Y,ID
COO_23A,7.92,1
COO_23E,5.6,2
COO_23J,6.41,3
COO_24A,5.6,4
COO_24C,9.6,5
COO_25A,8.46,6
COO_25E,7.82,7
COO_26A,7.92,8
COO_26C,7.0,9
COO_26H,6.66,10
SQ29852,7.44,11
SQ29852_2A,8.49,12
SQ29852_2B,9.31,13
SQ29852_2E,8.97,14
SQ29852_2G,9.54,15
SQ29852_2H,9.94,16
SQ29852_2I,9.53,17
SQ29852_2K,9.53,18
SQ29852_2P,6.47,19
SQ29852_2Q,9.88,20
SQ29852_2R,9.05,21
SQ29852_2S,9.11,22
SQ29852_2T,9.28,23
SQ29852_2U,9.28,24
SQ29852_2V,8.72,25
SQ29852_2W,8.59,26
SQ29852_2X,9.2,27
SQ29852_2Y,9.06,28
SQ29852_2Z,7.8,29
THIOL_10,4.17,30
THIOL_12,3.59,31
THIOL_14,3.64,32
THIOL_18,6.12,33
THIOL_2,2.46,34
THIOL_20A,7.19,35
THIOL_20B,6.44,36
THIOL_22,4.42,37
THIOL_27,5.34,38
THIOL_28,3.0,39
THIOL_30A,7.46,40
THIOL_30B,4.48,41
THIOL_4,4.11,42
THIOL_5,4.72,43
THIOL_7A,5.1,44
THIOL_7B,3.27,45
THIOL_9,2.14,46
mol_01,6.15,47
mol_02,7.42,48
mol_03,7.0,49
mol_04,8.43,50
mol_05,8.22,51
mol_06,6.34,52
mol_07,6.11,53
mol_08,9.0,54
mol_09,7.64,55
mol_10,8.05,56
mol_11,7.19,57
mol_12,7.31,58
mol_13,8.77,59
mol_14,7.3,60
mol_15,8.54,61
mol_16,8.52,62
mol_17,9.64,63
mol_18,8.92,64
mol_19,8.92,65
mol_20,8.96,66
mol_21,8.55,67
mol_22,9.22,68
mol_23,8.4,69
mol_24,8.0,70
mol_25,8.11,71
mol_26,7.92,72
mol_27,8.52,73
mol_28,8.54,74
mol_29,8.15,75
mol_30,5.55,76
mol_31,6.07,77
mol_32,5.8,78
mol_33,6.37,79
mol_34,6.7,80
mol_35,6.19,81
mol_36,2.7,82
mol_37,2.7,83
mol_38,2.87,84
mol_39,4.51,85
mol_40,5.52,86
mol_41,4.96,87
mol_42,2.74,88
mol_43,2.96,89
mol_44,3.21,90
mol_45,2.98,91
mol_46,3.26,92
mol_47,3.35,93
mol_48,3.64,94
mol_49,3.38,95
mol_50,3.89,96
mol_51,3.22,97
mol_52,3.72,98
mol_53,4.28,99
mol_54,3.03,100
mol_55,3.62,101
mol_56,4.77,102
mol_57,2.96,103
mol_58,3.62,104
mol_59,3.19,105
mol_60,5.62,106
mol_61,4.41,107
mol_62,6.15,108
mol_63,3.48,109
mol_64,4.99,110
mol_65,5.31,111
mol_66,5.62,112
mol_67,5.08,113
mol_68,4.32,114
