Name,Y,ID
1,2.8,1
2,1.3,2
3,1.9,3
4,1.6,4
5,1.6,5
6,1.6,6
7,1.8,7
8,2.1,8
9,2.8,9
10,1.7,10
11,1.8,11
12,2.3,12
13,2.4,13
14,1.5,14
15,1.8,15
16,2.3,16
17,2.0,17
18,2.1,18
19,1.8,19
20,3.4,20
21,2.7,21
22,3.0,22
23,2.1,23
24,2.6,24
25,2.5,25
26,1.7,26
27,3.4,27
28,1.9,28
29,1.4,29
30,2.3,30
31,1.6,31
32,3.7,32
33,2.6,33
34,3.7,34
35,3.4,35
36,4.4,36
37,4.5,37
38,4.4,38
39,4.4,39
40,4.1,40
41,4.0,41
42,3.9,42
43,3.4,43
44,2.3,44
45,4.8,45
46,3.5,46
47,3.0,47
48,2.7,48
49,2.6,49
50,2.4,50
51,2.4,51
52,1.7,52
53,2.1,53
54,2.9,54
55,2.6,55
56,5.5,56
57,6.8,57
58,4.2,58
59,2.1,59
60,2.1,60
61,1.8,61
62,1.8,62
63,1.6,63
64,4.1,64
65,3.3,65
66,4.4,66
