Name,Y,ID
10_2,8.3,1
10_3,6.74,2
11_10,7.64,3
11_13,7.64,4
11_14,6.96,5
11_16,6.46,6
11_21,7.3,7
11_24,7.68,8
11_25,6.37,9
11_26,5.8,10
11_29,8.0,11
11_30,7.8,12
11_32,7.68,13
11_33,7.24,14
11_34,7.1,15
11_8,6.92,16
12_10b,5.61,17
12_10c,7.55,18
12_3a,7.89,19
12_5a,7.42,20
12_5b,8.3,21
13_10,7.48,22
13_7a,7.12,23
13_7c,6.89,24
14_12,8.15,25
14_13,8.3,26
14_14,7.03,27
14_15,8.3,28
14_3,7.96,29
14_7,7.7,30
1_1,7.22,31
1_20,7.85,32
1_28,6.92,33
1_29,5.79,34
1_3,6.29,35
1_31,7.22,36
1_32,5.49,37
1_33,6.12,38
1_34,7.7,39
1_37,6.33,40
1_38,5.41,41
1_4,4.99,42
1_41,5.84,43
1_42,6.85,44
1_5,7.22,45
1_6,7.1,46
1_8,5.54,47
1_9,6.6,48
2_20,6.28,49
3_10,6.92,50
3_100,5.08,51
3_101,6.49,52
3_103,5.81,53
3_12,6.24,54
3_13,5.83,55
3_14,6.15,56
3_15,6.8,57
3_17,5.24,58
3_18,8.0,59
3_20,7.4,60
3_22,7.22,61
3_27,6.46,62
3_28,6.46,63
3_29,4.17,64
3_30,5.49,65
3_31,6.04,66
3_32,5.23,67
3_33,6.24,68
3_38,6.05,69
3_40,6.1,70
3_42,7.0,71
3_43,6.7,72
3_44,6.82,73
3_46,7.4,74
3_47,6.49,75
3_49,6.18,76
3_5,6.62,77
3_50,7.52,78
3_52,6.77,79
3_54,6.6,80
3_55,5.98,81
3_56,6.77,82
3_57,6.92,83
3_58,6.48,84
3_6,6.96,85
3_61,6.02,86
3_66,7.52,87
3_69,8.0,88
3_70,8.52,89
3_71,7.7,90
3_72,7.52,91
3_73,7.4,92
3_75,6.34,93
3_79,6.14,94
3_80,4.91,95
3_87,6.21,96
3_88,6.39,97
3_89,5.8,98
3_90,6.64,99
3_91,5.24,100
3_96,6.62,101
3_99,5.43,102
4_25,5.77,103
4_36,5.02,104
4_40,5.92,105
4_41,4.42,106
4_42,6.02,107
4_43,6.36,108
4_44,5.55,109
4_49,6.47,110
4_50,5.54,111
4_51,5.89,112
4_52,6.28,113
4_53,5.24,114
4_54,6.38,115
4_55,6.14,116
4_56,6.36,117
4_57,5.81,118
4_58,4.68,119
4_59,4.61,120
4_60,4.1,121
4_62,4.03,122
4_63,5.74,123
4_64,5.92,124
4_66,6.2,125
4_67,5.96,126
4_69,6.33,127
4_70,4.29,128
4_71,6.33,129
4_72,7.15,130
4_73,7.59,131
4_74,5.96,132
4_75,6.03,133
4_76,6.28,134
4_77,6.37,135
4_78,6.96,136
4_79,5.38,137
4_80,6.39,138
5_1a,7.59,139
5_1b,8.3,140
5_1d,8.52,141
5_1f,6.06,142
5_1g,7.28,143
5_1h,4.11,144
5_1i,5.49,145
5_1j,5.18,146
5_1k,6.66,147
5_1l,7.12,148
5_7a,7.82,149
5_7c,7.17,150
5_7e,7.29,151
6_7b,7.29,152
6_7i,6.92,153
6_7l,7.68,154
6_7m,8.3,155
6_7p,6.12,156
6_8a,8.15,157
6_8b,7.74,158
6_8h,8.7,159
6_8i,7.8,160
6_8l,8.7,161
6_8m,8.7,162
6_8o,6.82,163
6_8p,6.77,164
6_Dup697,8.0,165
7_16a,6.59,166
7_17a,7.21,167
7_17b,7.77,168
7_17d,7.48,169
7_20c,8.3,170
7_20g,7.89,171
7_20h,6.47,172
7_20i,6.47,173
7_20j,7.92,174
7_20k,8.15,175
7_20o,8.1,176
7_20p,4.28,177
7_20q,6.77,178
7_21c,8.7,179
7_21d,7.89,180
7_21g,8.3,181
7_21h,7.19,182
7_21i,7.49,183
7_21j,8.4,184
7_21l,8.52,185
7_21m,8.3,186
7_21o,8.22,187
7_21p,6.48,188
7_21q,7.29,189
7_32,7.08,190
8_13a,6.47,191
8_14a,6.08,192
8_16a,6.7,193
8_17a,6.92,194
8_1aa,8.43,195
8_1ab,8.24,196
8_1ac,7.57,197
8_1ad,7.18,198
8_1ae,7.82,199
8_1af,7.25,200
8_1ai,4.34,201
8_1aj,4.35,202
8_1ak,4.19,203
8_1al,7.92,204
8_1an,6.46,205
8_1ao,6.05,206
8_1ap,7.08,207
8_1aq,7.51,208
8_1ar,6.64,209
8_1as,7.68,210
8_1at,7.28,211
8_1b,7.24,212
8_1c,5.11,213
8_1d,7.39,214
8_1g,7.16,215
8_1i,7.4,216
8_1j,6.07,217
8_1l,5.58,218
8_1n,6.54,219
8_1o,8.1,220
8_1p,6.19,221
8_1q,8.05,222
8_1r,6.47,223
