Name,Y,ID
10_11a,6.36,1
10_12a,7.16,2
10_18a,4.39,3
10_18c,5.07,4
10_1a,6.38,5
10_2b,5.41,6
10_2c,6.64,7
10_2d,5.15,8
10_3a,7.59,9
10_4a,6.38,10
10_5a,6.3,11
10_6a,6.46,12
11_AH2503,5.66,13
11_AH2504,6.39,14
11_GR92754,6.49,15
12_4a,5.36,16
12_4b,5.29,17
12_4c,7.57,18
12_4d,4.89,19
12_4e,6.7,20
12_4g,5.4,21
13_10,7.92,22
13_11,7.55,23
13_14,8.22,24
13_17,7.42,25
14_10,7.49,26
14_22,7.38,27
14_28,7.36,28
14_29,8.23,29
14_5,6.37,30
14_8,7.66,31
14_9,7.17,32
15_10,6.72,33
15_11,7.59,34
15_12,8.09,35
15_13,7.37,36
15_14,7.72,37
15_15,7.77,38
15_3,5.96,39
15_4,6.08,40
15_5,5.92,41
15_6,6.05,42
15_7,5.89,43
16_10,4.37,44
16_11,6.48,45
16_12,5.55,46
16_8a,6.03,47
16_9a,8.01,48
18_3,6.72,49
18_4,7.28,50
18_5,5.82,51
18_6,7.72,52
19_1,6.54,53
19_10,7.47,54
19_11,6.62,55
19_12,6.96,56
19_13,6.89,57
19_14,7.17,58
19_15,6.64,59
19_19,6.86,60
19_2,7.42,61
19_20,7.33,62
19_3,7.13,63
19_4,6.25,64
19_5,6.59,65
19_6,7.15,66
19_7,5.83,67
19_8,6.94,68
19_9,6.82,69
1_107146,9.44,70
1_117356,8.21,71
1_122870,9.81,72
1_131463,6.96,73
1_137545,7.42,74
1_144698,8.81,75
1_152737,8.96,76
1_184692,8.44,77
1_232965,3.61,78
1_233903,3.66,79
1_233904,6.08,80
1_233910,6.77,81
1_233912,4.89,82
1_235777,5.9,83
1_235791,7.12,84
1_241522,6.32,85
1_351521,8.82,86
1_98535,7.77,87
1_Trimetrexate,8.52,88
20_5a,6.74,89
20_5b,6.96,90
20_5c,6.96,91
20_5d,6.92,92
20_5e,6.96,93
20_5f,7.11,94
20_5g,6.72,95
20_5h,7.1,96
20_5i,6.77,97
20_5j,7.47,98
20_5k,7.2,99
20_5m,5.14,100
20_9a,5.52,101
20_9b,7.19,102
20_9c,5.72,103
21_10,7.14,104
21_11,7.74,105
21_12,6.85,106
21_13,6.92,107
21_14,6.85,108
21_15,6.49,109
21_16,7.8,110
21_18,7.3,111
21_19,7.22,112
21_20,8.57,113
21_21,7.06,114
21_22,7.24,115
21_23,6.7,116
21_24,7.33,117
21_27,7.27,118
21_3,6.28,119
21_34,6.8,120
21_36,7.4,121
21_38,8.14,122
21_4,6.59,123
21_40,8.6,124
21_41,8.29,125
21_42,7.82,126
21_43,7.49,127
21_44,8.12,128
21_5,7.62,129
21_6,6.38,130
21_7,6.92,131
21_8,6.7,132
21_9,7.46,133
22_10,6.37,134
22_11,6.59,135
22_12,5.42,136
22_13,6.09,137
22_14,5.44,138
22_15,5.96,139
22_16,5.49,140
22_17,5.7,141
22_18,8.89,142
22_19,8.17,143
22_20,8.38,144
22_21,9.4,145
22_22,8.43,146
22_23,5.48,147
22_25,5.85,148
22_4,6.64,149
22_5,7.12,150
22_6,7.74,151
22_7,5.85,152
22_8,5.7,153
22_9,6.06,154
23_4b,7.28,155
23_6a,6.96,156
23_6b,6.85,157
24_2a,6.89,158
24_2b,7.37,159
24_2c,6.67,160
24_2d,8.12,161
24_2e,7.76,162
24_3a,6.39,163
24_3c,7.36,164
24_3e,5.52,165
24_4a,7.93,166
24_4c,7.98,167
24_5a,7.53,168
24_5b,7.27,169
25_10,6.85,170
25_11,5.48,171
25_12,7.48,172
25_13,5.9,173
25_14,5.49,174
25_15,7.52,175
25_16,5.92,176
25_19,5.47,177
25_20,7.14,178
25_21,6.46,179
25_22,7.24,180
25_23,6.62,181
25_24,6.37,182
25_25,6.43,183
25_26,5.54,184
26_10,6.36,185
26_5,6.33,186
26_7,6.64,187
26_8,5.46,188
26_9,6.77,189
27_10,7.43,190
27_11,7.29,191
27_13,7.74,192
27_14,7.89,193
27_15,7.0,194
27_16,7.59,195
27_6,6.77,196
27_7,7.1,197
27_9,7.06,198
28_10,6.21,199
28_11,6.59,200
28_12,5.21,201
28_3,6.55,202
28_4,6.92,203
28_5,5.13,204
28_6,4.89,205
28_7,5.68,206
28_8,4.93,207
28_9,5.94,208
29_2_piritrexim,8.82,209
30_2,6.82,210
30_3,6.77,211
30_4,6.64,212
32_10,6.46,213
32_11,5.02,214
32_8,5.85,215
32_9,5.66,216
33_1,5.89,217
33_2,6.37,218
33_5,4.45,219
