Name,Y,ID
ace_ohleu_agnh2,2.47,1
bzsag,6.12,2
c6pcltnme,7.28,3
c6pltnme,8.82,4
c6poltnme,5.84,5
cbzphe,3.29,6
ch3coch2co_fagnh2,2.51,7
ch3o2s_fagnh2,0.52,8
cho_ohleu_agnh2,2.47,9
cltzncrys,7.47,10
dah50,7.96,11
dah51,6.22,12
dah52,5.55,13
dah53,6.66,14
dah54,5.77,15
dah55,2.42,16
hoch2co_fagnh2,2.54,17
nhohbzmagna,6.37,18
nhohbzmagnh2,6.18,19
nhohbzmagoh,6.18,20
nhohbzmoet,4.7,21
nhohibmagnh2,6.32,22
nhohleu,3.72,23
nhohmalagnh2,2.96,24
ohbzmagnh2,3.38,25
p_ile_aoh,6.44,26
p_ophe_ome_leunh2,0.52,27
paaoh,4.06,28
phosphoramidon,7.55,29
pleunh2,4.1,30
plfoh,7.72,31
pnhet,0.52,32
po3_fagnh2,5.59,33
ppheoh,4.14,34
pppheI,2.79,35
r_thiorphan,5.64,36
s02p_fagnh2,5.16,37
s_thiorphan,5.74,38
so3_fagnh2,2.37,39
z_d_apola,4.62,40
z_d_fpla,6.32,41
z_d_fpola,4.52,42
z_d_lpola,4.38,43
z_nh_glnh2,3.42,44
z_nh_glnhoh,5.57,45
zala,6.07,46
zapola,5.74,47
zfgnh2I,3.46,48
zfplazncrys,10.17,49
zfpola,7.35,50
zg_d_lnhoh,4.32,51
zgg_d_lnhoh,3.6,52
zgglnhoh,4.41,53
zggnhoh,3.03,54
zglnh2,1.68,55
zglnhoh,4.89,56
zglnmeoh,2.65,57
zgly,6.39,58
zgpclaI,7.73,59
zgpclfI,7.18,60
zgpclgI,6.52,61
zgpcllzncrys,6.74,62
zgpclnh2_min,5.85,63
zgpla,7.78,64
zgplfI,7.12,65
zgplgI,6.57,66
zgpllzncrys,8.04,67
zgplnh2I,6.12,68
zgpola,4.89,69
zgpolfI,4.27,70
zgpolgI,3.64,71
zgpollzncrys,5.05,72
zgpolnh2I,3.18,73
zlgnh2I,2.51,74
zlpola,6.17,75
zygnh2,3.66,76
