Name,Y,ID
01x,8.38,1
02x,8.37,2
03x,8.3,3
04x,8.21,4
05x,8.13,5
06x,8.06,6
07x,7.85,7
08x,7.8,8
09x,7.77,9
10x,7.74,10
11x,7.72,11
12x,7.68,12
13x,7.64,13
14x,7.59,14
15x,7.59,15
16x,7.49,16
17x,7.47,17
18x,7.43,18
19x,7.43,19
20x,7.38,20
21x,7.38,21
22x,7.24,22
23x,7.23,23
24x,7.19,24
25x,7.12,25
26x,7.05,26
27x,7.02,27
28x,6.96,28
29x,6.92,29
30x,6.92,30
31x,6.92,31
32x,6.82,32
33x,6.82,33
34x,6.8,34
35x,6.74,35
36x,6.7,36
37x,6.68,37
38x,6.64,38
39x,6.64,39
40x,6.59,40
41x,6.55,41
42x,6.55,42
43x,6.49,43
44x,6.47,44
45x,6.47,45
46x,6.46,46
47x,6.38,47
48x,6.3,48
49x,6.29,49
50x,6.24,50
51x,6.2,51
52x,6.18,52
53x,6.16,53
54x,6.05,54
55x,5.96,55
56x,5.92,56
57x,5.74,57
58x,5.68,58
59x,5.64,59
60x,5.54,60
61x,5.51,61
62x,5.51,62
63x,5.24,63
64x,5.21,64
65x,5.14,65
66x,4.89,66
67x,4.82,67
68x,4.77,68
69x,4.57,69
70x,4.52,70
71x,4.46,71
72x,4.36,72
73x,8.48,73
74x,7.89,74
75x,7.59,75
76x,7.52,76
77x,7.44,77
78x,7.28,78
79x,7.16,79
80x,6.77,80
81x,6.59,81
82x,6.55,82
83x,6.52,83
84x,6.28,84
85x,6.28,85
86x,6.15,86
87x,5.42,87
88x,4.74,88
