Name,Y,ID
1_2A,4.59,1
1_2C,4.81,2
1_2D,4.98,3
1_2E,3.84,4
1_2F,4.08,5
1_2G,5.15,6
1_2H,4.1,7
1_3A,4.95,8
1_3C,6.3,9
1_3D,6.65,10
1_3E,4.74,11
1_3H,4.31,12
2_13B,6.18,13
2_14D,4.61,14
2_2A,3.03,15
2_2B,3.7,16
2_2C,3.99,17
2_2D,6.61,18
2_2E,4.07,19
2_2F,4.14,20
2_2G,6.08,21
2_2H,7.53,22
2_3B,3.55,23
2_4C,2.64,24
2_4D,3.71,25
2_4E,6.19,26
2_6B,6.04,27
2_6D,3.95,28
2_6H,3.8,29
2_7B,4.09,30
3_1,3.49,31
3_11A,2.92,32
3_11B,4.5,33
3_11C,3.12,34
3_11D,4.65,35
3_11E,4.69,36
3_11F,2.87,37
3_12A,3.21,38
3_12B,3.66,39
3_12C,3.18,40
3_13B,2.85,41
3_14A,3.12,42
3_14B,3.22,43
3_14C,3.28,44
3_14D,3.39,45
3_14E,3.78,46
3_14F,4.89,47
3_14G,6.94,48
3_14H,4.63,49
3_14I,6.78,50
3_14J,4.7,51
3_15A,3.96,52
3_15B,3.75,53
3_2,3.47,54
3_3B,7.51,55
3_3C,6.72,56
3_3D,3.88,57
3_3E,6.75,58
3_3F,4.63,59
3_3G,4.42,60
3_4A,3.61,61
3_4B,3.94,62
3_5,4.9,63
3_7A,4.2,64
3_7B,6.22,65
3_7C,4.37,66
3_7D,6.03,67
3_7E,3.8,68
3_9,3.25,69
4_2D,6.71,70
4_2E,5.67,71
4_2F,5.77,72
4_2G,5.75,73
4_2H,4.23,74
4_3B,4.38,75
4_3C,4.82,76
4_3D,4.65,77
4_4B,2.92,78
4_4C,2.94,79
4_4D,4.02,80
4_5A,3.5,81
4_5B,2.64,82
4_5C,3.79,83
4_5D,4.38,84
4_5E,5.04,85
4_5F,4.87,86
4_7A,6.38,87
4_7G,3.07,88
4_7H,7.08,89
4_7I,4.55,90
4_7J,4.59,91
4_7K,4.71,92
4_7L,4.67,93
4_7M,7.1,94
