Name,Y,ID
CCR5_01,5.14,1
CCR5_02,5.29,2
CCR5_03,5.17,3
CCR5_04,5.23,4
CCR5_05,5.44,5
CCR5_06,5.66,6
CCR5_07,6.1,7
CCR5_08,6.11,8
CCR5_09,5.59,9
CCR5_10,5.72,10
CCR5_11,5.85,11
CCR5_12,6.18,12
CCR5_13,6.16,13
CCR5_14,6.17,14
CCR5_15,6.24,15
CCR5_16,6.19,16
CCR5_17,5.57,17
CCR5_18,5.96,18
CCR5_19,6.24,19
CCR5_20,5.46,20
CCR5_21,5.64,21
CCR5_22,6.43,22
CCR5_23,6.54,23
CCR5_24,6.17,24
CCR5_25,7.22,25
CCR5_26,7.04,26
CCR5_27,7.34,27
CCR5_28,6.25,28
CCR5_29,6.2,29
CCR5_30,6.33,30
CCR5_31,6.82,31
CCR5_32,6.51,32
CCR5_33,7.18,33
CCR5_34,7.42,34
CCR5_35,7.12,35
CCR5_36,6.96,36
CCR5_37,7.48,37
CCR5_38,7.29,38
CCR5_39,6.51,39
CCR5_40,6.46,40
CCR5_41,7.43,41
CCR5_42,6.74,42
CCR5_43,5.31,43
CCR5_44,5.23,44
CCR5_45,5.68,45
CCR5_46,6.43,46
CCR5_47,6.72,47
CCR5_48,6.49,48
CCR5_49,7.0,49
CCR5_50,7.21,50
CCR5_51,5.27,51
CCR5_52,6.62,52
CCR5_53,6.96,53
CCR5_54,7.46,54
CCR5_55,7.38,55
CCR5_56,7.31,56
CCR5_57,6.51,57
CCR5_58,8.07,58
CCR5_59,7.24,59
CCR5_60,7.11,60
CCR5_61,7.55,61
CCR5_62,8.64,62
CCR5_63,8.15,63
CCR5_64,8.2,64
CCR5_65,7.07,65
CCR5_66,7.92,66
CCR5_67,8.77,67
CCR5_68,6.7,68
CCR5_69,7.59,69
CCR5_70,6.89,70
CCR5_71,7.74,71
CCR5_72,7.72,72
CCR5_73,6.98,73
CCR5_74,8.1,74
CCR5_75,8.04,75
