Name,Y,ID
1,-1.04,1
2,-1.65,2
3,-1.11,3
4,-0.38,4
5,-0.74,5
6,-1.18,6
7,-0.26,7
8,-0.48,8
9,0.0,9
10,-0.99,10
11,-0.15,11
12,0.92,12
13,-1.04,13
14,0.6,14
15,0.66,15
16,-0.72,16
17,-0.48,17
18,1.24,18
19,-0.3,19
20,0.85,20
21,1.89,21
22,1.9,22
23,0.6,23
24,1.59,24
25,1.3,25
26,2.3,26
27,0.92,27
28,0.08,28
29,0.77,29
30,0.54,30
31,0.64,31
32,0.34,32
33,0.35,33
34,1.96,34
35,2.25,35
36,2.85,36
37,2.33,37
38,2.34,38
39,2.17,39
40,2.06,40
41,1.92,41
42,1.66,42
43,1.51,43
44,1.43,44
45,1.68,45
46,1.2,46
47,2.0,47
48,2.29,48
49,1.21,49
50,2.31,50
51,1.43,51
52,1.17,52
53,1.34,53
54,1.34,54
55,2.37,55
56,2.14,56
57,2.0,57
58,1.7,58
59,1.74,59
60,2.0,60
61,1.66,61
62,1.91,62
63,1.56,63
64,1.85,64
65,-0.15,65
66,1.06,66
67,1.03,67
68,1.21,68
69,1.02,69
70,1.06,70
71,0.76,71
72,2.15,72
73,1.7,73
74,2.66,74
75,0.65,75
76,1.46,76
77,0.07,77
78,0.04,78
