Name,Y,ID
1-1,6.25,1
1-10,7.52,2
1-11,4.57,3
1-12,5.52,4
1-13,7.9,5
1-14,6.36,6
1-15,6.62,7
1-16,5.17,8
1-17,8.06,9
1-18,8.55,10
1-19,8.92,11
1-2,6.77,12
1-20,8.1,13
1-21,8.66,14
1-22,8.62,15
1-23,8.05,16
1-24,7.96,17
1-25,6.47,18
1-26,7.89,19
1-29,5.96,20
1-31a,6.0,21
1-31b,7.77,22
1-31c,5.8,23
1-31d,7.64,24
1-34,5.92,25
1-35,6.1,26
1-37,8.38,27
1-38,7.89,28
1-39,8.35,29
1-3a,7.46,30
1-3b,6.23,31
1-3c,7.74,32
1-3d,8.27,33
1-3e,7.19,34
1-3f,5.03,35
1-3g,7.28,36
1-3h,6.08,37
1-3i,7.34,38
1-3j,6.15,39
1-3k,7.19,40
1-3l,6.69,41
1-3m,4.92,42
1-3n,6.97,43
1-3o,6.18,44
1-40,6.57,45
1-9,7.01,46
2-12,4.34,47
2-14,6.89,48
2-15,6.03,49
2-21,9.22,50
2-22,9.52,51
2-23,9.22,52
2-24,4.59,53
2-25,6.11,54
2-26,6.84,55
2-27,4.39,56
2-28,4.85,57
2-29,6.43,58
2-30,5.48,59
2-31,4.89,60
2-32,4.27,61
2-33,4.28,62
2-34,4.42,63
2-35,6.39,64
2-36,4.62,65
2-3b,6.0,66
2-3c,6.33,67
2-3d,6.74,68
2-3e,6.06,69
2-3f,6.64,70
2-3g,7.26,71
2-3h,7.06,72
2-3i,6.92,73
2-3j,6.74,74
2-3k,7.07,75
2-3l,7.29,76
2-3m,7.54,77
2-3n,6.1,78
2-3o,7.16,79
2-3p,7.41,80
2-3r,5.8,81
2-9,6.28,82
3-12a,7.89,83
3-13a,4.3,84
3-13b,5.27,85
3-13c,5.68,86
3-13d,4.82,87
3-13e_E2020,8.24,88
3-13f,7.09,89
3-13g,8.19,90
3-13h,7.92,91
3-13i,7.07,92
3-13j,7.6,93
3-13k,7.44,94
3-13l,7.7,95
3-13m,7.89,96
3-13n,5.48,97
3-13o,7.52,98
3-15a,6.32,99
3-15b,7.03,100
3-16a,8.0,101
3-16b,8.7,102
3-16c,7.4,103
3-16d,6.8,104
3-16e,8.4,105
3-16f,7.0,106
3-16g,8.05,107
3-16h,6.74,108
3-17,6.52,109
3-18,5.36,110
3-9,6.82,111
