Name,Y,ID
CPD_01-b,5.409,1
CPD_02-b,5.167,2
CPD_03-b,4.921,3
CPD_04-b,4.387,4
CPD_05-b,4.125,5
CPD_06-b,4.62,6
CPD_07-b,4.854,7
CPD_08-b,4.377,8
CPD_09-b,4.367,9
CPD_10-b,4.382,10
CPD_11-b,4.114,11
CPD_12-b,4.585,12
CPD_13-b,4.319,13
CPD_14-b,5.638,14
CPD_15-b,4.149,15
CPD_16-b,3.921,16
CPD_17-b,4.097,17
CPD_18-b,4.745,18
CPD_19-b,4.721,19
CPD_20-b,5.658,20
CPD_21-b,4.796,21
CPD_22-b,4.456,22
CPD_23-b,4.022,23
CPD_24-b,4.42,24
CPD_25-b,5.699,25
CPD_26-b,4.0,26
CPD_27-b,4.237,27
CPD_28-b,5.456,28
CPD_29-b,4.268,29
CPD_30-b,5.638,30
CPD_31-b,4.328,31
CPD_32-b,4.745,32
CPD_33-b,5.585,33
CPD_34-b,4.119,34
CPD_35-b,4.076,35
CPD_36-b,4.569,36
CPD_37-b,5.092,37
CPD_38-b,4.77,38
CPD_39-b,5.824,39
CPD_40-b,4.42,40
CPD_41-b,5.602,41
CPD_42-b,4.77,42
CPD_43-b,4.886,43
CPD_44-b,3.745,44
CPD_45-b,4.824,45
CPD_46-b,4.119,46
CPD_47-b,5.495,47
CPD_48-b,4.678,48
CPD_49-b,4.796,49
CPD_50-b,4.363,50
CPD_51-b,4.699,51
CPD_52-b,3.959,52
CPD_53-b,5.114,53
CPD_54-b,6.046,54
CPD_55-b,4.357,55
CPD_56-b,4.194,56
CPD_57-b,5.602,57
CPD_58-b,5.119,58
CPD_59-b,4.244,59
CPD_60-b,3.886,60
CPD_61-b,4.456,61
CPD_62-b,5.0,62
CPD_63-b,4.585,63
CPD_64-b,3.444,64
CPD_65-b,4.886,65
CPD_66-b,3.0,66
CPD_67-b,4.658,67
CPD_68-b,3.721,68
CPD_69-b,3.638,69
CPD_70-b,3.886,70
CPD_71-b,4.387,71
CPD_72-b,3.194,72
CPD_73,4.658,73
CPD_74,5.509,74
CPD_75,5.013,75
CPD_76,4.658,76
CPD_77,4.523,77
CPD_78,4.301,78
CPD_79,4.337,79
CPD_80,4.284,80
CPD_81,4.481,81
CPD_82,5.131,82
CPD_83,5.066,83
CPD_84,4.569,84
CPD_85,4.444,85
CPD_86,4.602,86
CPD_87,4.959,87
CPD_88,4.398,88
